nroventa,fechaventa,idcliente,idproducto,idsucursal,tipopago,cantidad,precio,observacion
2164,2006-09-13 00:00:00.000,462,9,1,CR,1.0,139900.0,
2166,2006-09-23 00:00:00.000,272,8,10,CR,2.0,259800.0,
2168,2006-10-03 00:00:00.000,292,7,10,CR,3.0,210000.0,
2176,2006-11-11 00:00:00.000,469,40,1,CN,2.0,41980.0,
2184,2006-12-29 00:00:00.000,369,39,1,CR,3.0,32970.0,
2185,2007-01-02 00:00:00.000,386,42,1,CN,3.0,23940.0,
2186,2007-01-07 00:00:00.000,422,37,10,CN,1.0,319000.0,
2188,2007-01-24 00:00:00.000,423,44,8,CN,1.0,23980.0,
2190,2007-02-05 00:00:00.000,294,27,8,CN,1.0,171000.0,
2200,2007-03-25 00:00:00.000,365,7,10,CN,2.0,140000.0,
2203,2007-04-10 00:00:00.000,343,19,1,CN,2.0,600000.0,
2207,2007-05-05 00:00:00.000,408,8,10,CR,1.0,129900.0,
2208,2007-05-09 00:00:00.000,324,10,10,CR,1.0,119000.0,
2230,2007-08-28 00:00:00.000,367,20,10,CN,3.0,332700.0,
2235,2007-10-04 00:00:00.000,342,42,1,CR,3.0,23940.0,
2236,2007-10-07 00:00:00.000,462,42,10,CR,1.0,7980.0,
2237,2007-10-14 00:00:00.000,385,3,10,CR,3.0,206700.0,
2239,2007-10-22 00:00:00.000,423,24,8,CR,3.0,452700.0,
2242,2007-11-07 00:00:00.000,261,39,1,CN,1.0,10990.0,
2244,2007-11-16 00:00:00.000,240,25,8,CN,3.0,422700.0,
2245,2007-11-21 00:00:00.000,372,6,10,CN,1.0,55000.0,
2246,2007-11-28 00:00:00.000,353,3,8,CN,3.0,206700.0,
2248,2007-11-29 00:00:00.000,353,44,1,CR,1.0,23980.0,
2250,2007-12-14 00:00:00.000,364,38,8,CR,4.0,19960.0,
2252,2007-12-24 00:00:00.000,367,45,8,CR,3.0,98970.0,
2257,2008-01-21 00:00:00.000,370,26,1,CN,3.0,543000.0,
2259,2008-02-03 00:00:00.000,374,7,8,CN,2.0,140000.0,
2260,2008-02-03 00:00:00.000,318,10,8,CN,1.0,119000.0,
2261,2008-02-12 00:00:00.000,318,27,1,CR,1.0,171000.0,
2262,2008-02-17 00:00:00.000,409,43,1,CR,1.0,13980.0,
2267,2008-03-17 00:00:00.000,1,3,10,CR,1.0,68900.0,
2280,2008-06-15 00:00:00.000,372,10,1,CR,4.0,476000.0,
2281,2008-06-22 00:00:00.000,224,28,1,CR,3.0,570000.0,
2286,2008-07-16 00:00:00.000,282,40,10,CN,4.0,83960.0,
2291,2008-08-13 00:00:00.000,234,29,10,CR,3.0,630000.0,
2295,2008-09-09 00:00:00.000,353,13,10,CR,1.0,159900.0,
2297,2008-09-18 00:00:00.000,249,12,10,CN,3.0,509700.0,
2298,2008-09-20 00:00:00.000,445,18,1,CN,1.0,259000.0,
2299,2008-09-28 00:00:00.000,323,15,10,CN,4.0,760000.0,
2301,2008-10-16 00:00:00.000,287,42,10,CN,2.0,15960.0,
2303,2008-10-22 00:00:00.000,6,43,8,CR,4.0,55920.0,
2304,2008-11-02 00:00:00.000,1,21,10,CR,2.0,241800.0,
2307,2008-11-13 00:00:00.000,287,39,1,CR,2.0,420000.0,
2309,2008-11-22 00:00:00.000,261,10,1,CR,4.0,476000.0,
2314,2008-12-11 00:00:00.000,319,21,1,CN,3.0,362700.0,
2320,2008-12-22 00:00:00.000,375,14,8,CR,3.0,600000.0,
2323,2008-12-30 00:00:00.000,276,35,8,CR,4.0,876000.0,
2325,2009-01-07 00:00:00.000,287,23,10,CN,4.0,563600.0,
2326,2009-01-12 00:00:00.000,453,34,10,CN,1.0,199000.0,
2335,2009-02-09 00:00:00.000,257,29,10,CR,1.0,210000.0,
2336,2009-02-11 00:00:00.000,272,31,1,CR,2.0,562000.0,
2342,2009-04-03 00:00:00.000,287,29,8,CN,3.0,630000.0,
2343,2009-04-06 00:00:00.000,366,31,1,CN,1.0,281000.0,
2344,2009-04-17 00:00:00.000,469,3,8,CN,3.0,206700.0,
2360,2009-07-07 00:00:00.000,3,1,1,CR,3.0,119700.0,
2363,2009-07-16 00:00:00.000,292,5,1,CR,1.0,45000.0,
2368,2009-08-09 00:00:00.000,294,28,10,CN,1.0,190000.0,
2372,2009-09-02 00:00:00.000,440,16,8,CN,4.0,836000.0,
2380,2009-10-22 00:00:00.000,372,41,1,CR,1.0,30000.0,
2381,2009-10-29 00:00:00.000,3,42,1,CN,4.0,31920.0,
2383,2009-11-08 00:00:00.000,383,16,1,CN,4.0,836000.0,
2390,2009-12-04 00:00:00.000,385,6,10,CR,2.0,110000.0,
2395,2010-01-06 00:00:00.000,394,28,12,CN,1.0,190000.0,
2396,2010-01-12 00:00:00.000,222,2,2,CN,1.0,54900.0,
2397,2010-01-23 00:00:00.000,292,28,4,CN,3.0,570000.0,
2398,2010-01-27 00:00:00.000,409,19,9,CN,1.0,300000.0,
2399,2010-01-31 00:00:00.000,4,33,6,CN,4.0,756000.0,
2400,2010-02-01 00:00:00.000,359,30,7,CN,1.0,240000.0,
2401,2010-02-03 00:00:00.000,399,22,11,CR,2.0,200000.0,
2402,2010-02-09 00:00:00.000,253,11,3,CR,1.0,159900.0,
2403,2010-02-15 00:00:00.000,450,26,1,CR,4.0,724000.0,
2404,2010-02-22 00:00:00.000,409,35,5,CR,1.0,219000.0,
2405,2010-03-03 00:00:00.000,421,21,9,CR,2.0,241800.0,
2406,2010-03-05 00:00:00.000,275,26,8,CR,2.0,362000.0,
2407,2010-03-10 00:00:00.000,342,35,1,CR,3.0,657000.0,
2408,2010-03-10 00:00:00.000,439,40,8,CR,2.0,41980.0,
2409,2010-03-11 00:00:00.000,343,8,3,CN,4.0,519600.0,
2410,2010-03-20 00:00:00.000,319,23,6,CN,4.0,563600.0,
2411,2010-03-29 00:00:00.000,257,43,4,CN,3.0,41940.0,
2412,2010-04-04 00:00:00.000,306,26,7,CN,4.0,724000.0,
2413,2010-04-05 00:00:00.000,385,30,3,CN,4.0,960000.0,
2414,2010-04-07 00:00:00.000,457,12,10,CN,4.0,679600.0,
2415,2010-04-11 00:00:00.000,394,4,5,CR,4.0,123600.0,
2416,2010-04-15 00:00:00.000,359,5,12,CR,4.0,180000.0,
2417,2010-04-18 00:00:00.000,348,16,10,CR,1.0,209000.0,
2418,2010-04-24 00:00:00.000,4,10,5,CR,4.0,476000.0,
2419,2010-04-30 00:00:00.000,215,45,12,CR,1.0,32990.0,
2420,2010-05-11 00:00:00.000,257,38,11,CR,2.0,9980.0,
2421,2010-05-22 00:00:00.000,394,19,4,CR,4.0,1200000.0,
2422,2010-05-27 00:00:00.000,440,32,11,CR,4.0,1036000.0,
2423,2010-06-03 00:00:00.000,423,42,9,CN,3.0,23940.0,
2424,2010-06-06 00:00:00.000,257,3,5,CN,1.0,68900.0,
2425,2010-06-17 00:00:00.000,298,30,2,CN,3.0,720000.0,
2426,2010-06-20 00:00:00.000,409,45,8,CN,3.0,98970.0,
2427,2010-06-20 00:00:00.000,208,10,3,CN,3.0,357000.0,
2428,2010-06-28 00:00:00.000,394,24,5,CN,3.0,452700.0,
2429,2010-07-09 00:00:00.000,372,40,11,CR,4.0,83960.0,
2430,2010-07-11 00:00:00.000,453,18,4,CR,1.0,259000.0,
2431,2010-07-20 00:00:00.000,345,44,11,CR,3.0,71940.0,
2432,2010-07-25 00:00:00.000,356,45,6,CR,2.0,65980.0,
2433,2010-08-03 00:00:00.000,356,12,11,CR,4.0,679600.0,
2434,2010-08-03 00:00:00.000,239,18,8,CR,1.0,259000.0,
2435,2010-08-09 00:00:00.000,394,6,10,CR,4.0,220000.0,
2436,2010-08-09 00:00:00.000,366,39,2,CR,3.0,32970.0,
2437,2010-08-17 00:00:00.000,253,33,10,CN,1.0,189000.0,
2438,2010-08-23 00:00:00.000,423,2,3,CN,4.0,219600.0,
2439,2010-09-02 00:00:00.000,207,17,2,CN,3.0,687000.0,
2440,2010-09-10 00:00:00.000,217,28,12,CN,4.0,760000.0,
2441,2010-09-20 00:00:00.000,322,5,1,CN,3.0,135000.0,
2442,2010-09-25 00:00:00.000,319,5,5,CN,2.0,90000.0,
2443,2010-10-05 00:00:00.000,271,5,11,CR,1.0,45000.0,
2444,2010-10-09 00:00:00.000,271,18,4,CR,3.0,777000.0,
2445,2010-10-20 00:00:00.000,364,4,8,CR,1.0,30900.0,
2446,2010-10-29 00:00:00.000,240,6,9,CR,3.0,165000.0,
2447,2010-10-31 00:00:00.000,394,8,11,CR,2.0,259800.0,
2448,2010-11-01 00:00:00.000,367,32,9,CR,3.0,777000.0,
2449,2010-11-05 00:00:00.000,287,3,5,CR,3.0,206700.0,
2450,2010-11-10 00:00:00.000,216,40,5,CR,4.0,83960.0,
2451,2010-11-12 00:00:00.000,374,22,11,CN,4.0,400000.0,
2452,2010-11-21 00:00:00.000,302,16,7,CN,2.0,418000.0,
2453,2010-12-01 00:00:00.000,459,18,5,CN,2.0,518000.0,
2454,2010-12-10 00:00:00.000,292,43,6,CN,2.0,27960.0,
2455,2010-12-16 00:00:00.000,423,33,7,CN,4.0,756000.0,
2456,2010-12-16 00:00:00.000,372,8,1,CN,1.0,129900.0,
2457,2010-12-20 00:00:00.000,385,16,3,CR,1.0,209000.0,
2458,2010-12-20 00:00:00.000,6,9,11,CR,2.0,279800.0,
2459,2010-12-26 00:00:00.000,207,42,9,CR,2.0,15960.0,
2460,2010-12-30 00:00:00.000,217,11,12,CR,1.0,159900.0,
2461,2011-01-08 00:00:00.000,423,26,9,CR,1.0,181000.0,
2462,2011-01-10 00:00:00.000,365,6,11,CR,4.0,220000.0,
2463,2011-01-14 00:00:00.000,6,11,1,CR,1.0,159900.0,
2464,2011-01-25 00:00:00.000,342,7,1,CR,3.0,210000.0,
2465,2011-01-28 00:00:00.000,385,11,4,CN,2.0,319800.0,
2466,2011-02-01 00:00:00.000,375,7,1,CN,1.0,70000.0,
2467,2011-02-06 00:00:00.000,469,12,5,CN,4.0,679600.0,
2468,2011-02-09 00:00:00.000,364,34,10,CN,4.0,796000.0,
2469,2011-02-19 00:00:00.000,355,32,7,CN,3.0,777000.0,
2470,2011-02-19 00:00:00.000,364,21,5,CN,3.0,362700.0,
2471,2011-02-22 00:00:00.000,260,11,2,CR,4.0,639600.0,
2472,2011-02-25 00:00:00.000,410,1,5,CR,4.0,159600.0,
2473,2011-02-25 00:00:00.000,367,35,10,CR,2.0,438000.0,
2474,2011-02-28 00:00:00.000,364,16,11,CR,3.0,627000.0,
2475,2011-03-01 00:00:00.000,353,28,2,CR,4.0,760000.0,
2476,2011-03-01 00:00:00.000,203,3,12,CR,2.0,137800.0,
2477,2011-03-10 00:00:00.000,203,33,1,CR,1.0,189000.0,
2478,2011-03-12 00:00:00.000,423,32,3,CR,3.0,777000.0,
2479,2011-03-18 00:00:00.000,207,17,7,CN,4.0,916000.0,
2480,2011-03-24 00:00:00.000,329,17,8,CN,1.0,229000.0,
2481,2011-03-30 00:00:00.000,370,27,10,CN,4.0,684000.0,
2482,2011-04-01 00:00:00.000,392,30,7,CN,1.0,240000.0,
2483,2011-04-08 00:00:00.000,439,37,1,CN,3.0,957000.0,
2484,2011-04-13 00:00:00.000,294,21,5,CN,4.0,483600.0,
2485,2011-04-19 00:00:00.000,459,25,3,CR,1.0,140900.0,
2486,2011-04-28 00:00:00.000,318,18,5,CR,3.0,777000.0,
2487,2011-05-02 00:00:00.000,211,20,7,CR,4.0,443600.0,
2488,2011-05-13 00:00:00.000,1,23,10,CR,2.0,281800.0,
2489,2011-05-18 00:00:00.000,386,30,9,CR,3.0,720000.0,
2490,2011-05-21 00:00:00.000,272,39,2,CR,3.0,32970.0,
2491,2011-05-22 00:00:00.000,431,19,5,CR,2.0,600000.0,
2492,2011-05-24 00:00:00.000,442,43,4,CR,2.0,27960.0,
2493,2011-06-01 00:00:00.000,257,28,10,CN,4.0,760000.0,
2494,2011-06-08 00:00:00.000,313,41,8,CN,4.0,120000.0,
2495,2011-06-13 00:00:00.000,374,2,10,CN,4.0,219600.0,
2496,2011-06-14 00:00:00.000,221,41,12,CN,4.0,120000.0,
2497,2011-06-17 00:00:00.000,6,1,1,CN,4.0,159600.0,
2498,2011-06-22 00:00:00.000,370,27,3,CN,2.0,342000.0,
2499,2011-06-28 00:00:00.000,431,37,12,CR,4.0,1276000.0,
2500,2011-07-08 00:00:00.000,232,42,1,CR,1.0,7980.0,
2501,2011-07-09 00:00:00.000,366,27,2,CR,4.0,684000.0,
2502,2011-07-09 00:00:00.000,462,14,11,CR,4.0,800000.0,
2503,2011-07-11 00:00:00.000,257,8,10,CR,1.0,129900.0,
2504,2011-07-21 00:00:00.000,350,18,9,CR,3.0,777000.0,
2505,2011-07-23 00:00:00.000,234,9,10,CR,3.0,419700.0,
2506,2011-08-02 00:00:00.000,3,43,8,CR,1.0,13980.0,
2507,2011-08-06 00:00:00.000,250,10,7,CN,2.0,238000.0,
2508,2011-08-09 00:00:00.000,249,22,5,CN,1.0,100000.0,
2509,2011-08-14 00:00:00.000,287,45,9,CN,2.0,65980.0,
2510,2011-08-23 00:00:00.000,265,10,9,CN,4.0,476000.0,
2511,2011-08-28 00:00:00.000,402,22,5,CN,1.0,100000.0,
2512,2011-09-07 00:00:00.000,431,10,7,CN,4.0,476000.0,
2513,2011-09-12 00:00:00.000,333,32,2,CR,4.0,1036000.0,
2514,2011-09-15 00:00:00.000,399,19,6,CR,4.0,1200000.0,
2515,2011-09-21 00:00:00.000,3,40,7,CR,3.0,62970.0,
2516,2011-09-29 00:00:00.000,281,3,8,CR,3.0,206700.0,
2517,2011-10-03 00:00:00.000,356,41,8,CR,3.0,90000.0,
2518,2011-10-09 00:00:00.000,281,44,12,CR,1.0,23980.0,
2519,2011-10-20 00:00:00.000,343,11,1,CR,4.0,639600.0,
2520,2011-10-28 00:00:00.000,440,16,8,CR,2.0,418000.0,
2521,2011-10-28 00:00:00.000,222,26,6,CN,3.0,543000.0,
2522,2011-11-07 00:00:00.000,244,42,5,CN,1.0,7980.0,
2523,2011-11-16 00:00:00.000,372,24,5,CN,1.0,150900.0,
2524,2011-11-22 00:00:00.000,423,6,1,CN,2.0,110000.0,
2525,2011-11-23 00:00:00.000,275,20,2,CN,1.0,110900.0,
2526,2011-12-03 00:00:00.000,294,14,6,CN,2.0,400000.0,
2527,2011-12-05 00:00:00.000,240,38,4,CR,4.0,19960.0,
2528,2011-12-09 00:00:00.000,439,28,4,CR,2.0,380000.0,
2529,2011-12-17 00:00:00.000,327,40,3,CR,1.0,20990.0,
2530,2011-12-21 00:00:00.000,466,7,7,CR,4.0,280000.0,
2531,2011-12-25 00:00:00.000,386,5,7,CR,3.0,135000.0,
2532,2012-01-02 00:00:00.000,423,31,1,CR,4.0,1124000.0,
2533,2012-01-12 00:00:00.000,329,41,2,CR,1.0,30000.0,
2534,2012-01-15 00:00:00.000,462,12,10,CR,1.0,169900.0,
2535,2012-01-26 00:00:00.000,423,38,8,CN,2.0,9980.0,
2536,2012-02-01 00:00:00.000,207,11,9,CN,1.0,159900.0,
2537,2012-02-04 00:00:00.000,372,26,3,CN,1.0,181000.0,
2538,2012-02-12 00:00:00.000,356,19,8,CN,3.0,900000.0,
2539,2012-02-23 00:00:00.000,439,11,2,CN,1.0,159900.0,
2540,2012-02-25 00:00:00.000,308,34,7,CN,3.0,597000.0,
2541,2012-03-05 00:00:00.000,323,7,9,CR,4.0,280000.0,
2542,2012-03-10 00:00:00.000,207,30,5,CR,3.0,720000.0,
2543,2012-03-17 00:00:00.000,343,36,6,CR,4.0,1436000.0,
2544,2012-03-18 00:00:00.000,260,13,3,CR,4.0,639600.0,
2545,2012-03-28 00:00:00.000,443,9,6,CR,2.0,279800.0,
2546,2012-04-03 00:00:00.000,5,38,3,CR,2.0,9980.0,
2547,2012-04-09 00:00:00.000,385,36,8,CR,1.0,359000.0,
2548,2012-04-20 00:00:00.000,276,45,6,CR,3.0,98970.0,
2549,2012-04-22 00:00:00.000,206,16,7,CN,2.0,418000.0,
2550,2012-05-01 00:00:00.000,398,40,12,CN,4.0,83960.0,
2551,2012-05-12 00:00:00.000,450,37,12,CN,3.0,957000.0,
2552,2012-05-14 00:00:00.000,323,18,5,CN,4.0,1036000.0,
2553,2012-05-23 00:00:00.000,281,41,5,CN,4.0,120000.0,
2554,2012-05-31 00:00:00.000,240,38,11,CN,3.0,14970.0,
2555,2012-06-05 00:00:00.000,386,10,1,CR,3.0,357000.0,
2556,2012-06-09 00:00:00.000,253,27,4,CR,3.0,513000.0,
2557,2012-06-16 00:00:00.000,257,43,3,CR,2.0,27960.0,
2558,2012-06-16 00:00:00.000,282,39,7,CR,1.0,10990.0,
2559,2012-06-20 00:00:00.000,453,15,4,CR,4.0,760000.0,
2560,2012-06-25 00:00:00.000,206,17,3,CR,3.0,687000.0,
2561,2012-07-06 00:00:00.000,232,25,3,CR,1.0,140900.0,
2562,2012-07-14 00:00:00.000,287,16,9,CR,3.0,627000.0,
2563,2012-07-22 00:00:00.000,345,45,3,CN,2.0,65980.0,
2564,2012-07-31 00:00:00.000,298,5,6,CN,2.0,90000.0,
2565,2012-08-01 00:00:00.000,211,35,2,CN,3.0,657000.0,
2566,2012-08-03 00:00:00.000,453,14,4,CN,3.0,600000.0,
2567,2012-08-09 00:00:00.000,383,38,11,CN,1.0,4990.0,
2568,2012-08-13 00:00:00.000,359,37,4,CN,2.0,638000.0,
2569,2012-08-22 00:00:00.000,318,22,11,CR,1.0,100000.0,
2570,2012-08-30 00:00:00.000,355,4,3,CR,2.0,61800.0,
2571,2012-09-09 00:00:00.000,203,42,4,CR,3.0,23940.0,
2572,2012-09-19 00:00:00.000,423,17,12,CR,4.0,916000.0,
2573,2012-09-25 00:00:00.000,373,41,1,CR,4.0,120000.0,
2574,2012-10-02 00:00:00.000,222,18,1,CR,2.0,518000.0,
2575,2012-10-09 00:00:00.000,453,11,10,CR,3.0,479700.0,
2576,2012-10-13 00:00:00.000,304,12,11,CR,3.0,509700.0,
2577,2012-10-14 00:00:00.000,226,28,9,CN,3.0,570000.0,
2578,2012-10-24 00:00:00.000,208,24,3,CN,2.0,301800.0,
2579,2012-10-31 00:00:00.000,457,45,1,CN,4.0,131960.0,
2580,2012-11-06 00:00:00.000,327,8,12,CN,3.0,389700.0,
2581,2012-11-17 00:00:00.000,257,13,6,CN,2.0,319800.0,
2582,2012-11-20 00:00:00.000,323,33,12,CN,3.0,567000.0,
2583,2012-11-28 00:00:00.000,385,20,8,CR,4.0,443600.0,
2584,2012-12-01 00:00:00.000,288,37,3,CR,3.0,957000.0,
2589,2000-03-29 00:00:00.000,348,14,1,CN,1.0,200000.0,
2590,2000-04-04 00:00:00.000,267,40,8,CR,3.0,62970.0,
2591,2000-04-15 00:00:00.000,224,11,8,CR,1.0,159900.0,
2595,2000-05-14 00:00:00.000,306,43,1,CR,4.0,55920.0,
2600,2000-06-05 00:00:00.000,353,44,10,CN,1.0,23980.0,
2602,2000-06-12 00:00:00.000,333,4,10,CN,4.0,123600.0,
2603,2000-06-18 00:00:00.000,355,13,10,CN,3.0,479700.0,
2607,2000-07-13 00:00:00.000,457,26,1,CR,2.0,362000.0,
2608,2000-07-23 00:00:00.000,257,19,8,CR,1.0,300000.0,
2614,2000-09-08 00:00:00.000,239,45,8,CN,4.0,131960.0,
2619,2000-10-05 00:00:00.000,222,3,10,CR,4.0,275600.0,
2623,2000-11-03 00:00:00.000,234,39,10,CR,1.0,10990.0,
2628,2000-11-24 00:00:00.000,201,41,1,CN,4.0,120000.0,
2633,2000-12-27 00:00:00.000,422,9,8,CR,3.0,419700.0,
2634,2000-12-31 00:00:00.000,342,25,10,CR,2.0,281800.0,
2639,2001-01-09 00:00:00.000,292,33,8,CR,1.0,189000.0,
2645,2001-02-02 00:00:00.000,232,36,1,CN,2.0,718000.0,
2649,2001-02-25 00:00:00.000,443,24,10,CR,4.0,603600.0,
2650,2001-03-02 00:00:00.000,369,16,8,CR,3.0,627000.0,
2668,2001-06-17 00:00:00.000,394,28,1,CN,4.0,760000.0,
2675,2001-07-29 00:00:00.000,292,23,10,CR,2.0,281800.0,
2680,2001-08-25 00:00:00.000,292,26,10,CR,1.0,181000.0,
2682,2001-09-07 00:00:00.000,345,15,10,CN,2.0,380000.0,
2688,2001-10-08 00:00:00.000,287,20,8,CR,3.0,332700.0,
2690,2001-10-18 00:00:00.000,211,18,1,CR,3.0,777000.0,
2691,2001-10-23 00:00:00.000,398,4,10,CR,3.0,92700.0,
2694,2001-11-14 00:00:00.000,292,6,1,CR,1.0,55000.0,
2700,2001-12-13 00:00:00.000,266,36,1,CN,2.0,718000.0,
2708,2002-01-31 00:00:00.000,2,42,1,CR,3.0,23940.0,
2710,2002-02-11 00:00:00.000,370,19,1,CN,4.0,1200000.0,
2713,2002-02-14 00:00:00.000,386,10,10,CN,4.0,476000.0,
2714,2002-02-20 00:00:00.000,322,24,10,CN,4.0,603600.0,
2716,2002-03-01 00:00:00.000,433,39,8,CR,4.0,43960.0,
2718,2002-03-05 00:00:00.000,323,10,10,CR,3.0,357000.0,
2728,2002-04-25 00:00:00.000,257,42,8,CN,3.0,23940.0,
2730,2002-05-08 00:00:00.000,318,36,1,CR,3.0,1077000.0,
2742,2002-07-23 00:00:00.000,409,3,10,CN,1.0,68900.0,
2745,2002-08-17 00:00:00.000,287,28,8,CR,1.0,190000.0,
2749,2002-09-05 00:00:00.000,356,24,1,CR,1.0,150900.0,
2750,2002-09-09 00:00:00.000,370,23,1,CR,3.0,422700.0,
2754,2002-09-28 00:00:00.000,439,13,8,CN,1.0,159900.0,
2759,2002-10-11 00:00:00.000,469,19,10,CR,4.0,1200000.0,
2762,2002-10-22 00:00:00.000,287,36,8,CR,1.0,359000.0,
2765,2002-11-14 00:00:00.000,318,41,1,CR,3.0,90000.0,
2770,2002-12-21 00:00:00.000,421,3,10,CN,3.0,206700.0,
2774,2003-01-26 00:00:00.000,239,45,10,CR,3.0,98970.0,
2779,2003-02-22 00:00:00.000,443,40,1,CR,3.0,62970.0,
2784,2003-03-22 00:00:00.000,208,19,8,CN,3.0,900000.0,
2787,2003-03-29 00:00:00.000,304,45,10,CR,1.0,32990.0,
2789,2003-04-11 00:00:00.000,329,9,10,CR,2.0,279800.0,
2791,2003-04-19 00:00:00.000,421,1,1,CR,3.0,119700.0,
2792,2003-04-26 00:00:00.000,372,16,1,CR,1.0,209000.0,
2795,2003-05-04 00:00:00.000,208,13,10,CN,1.0,159900.0,
2800,2003-06-02 00:00:00.000,333,30,8,CR,2.0,480000.0,
2801,2003-06-12 00:00:00.000,201,33,8,CR,1.0,189000.0,
2802,2003-06-12 00:00:00.000,257,12,8,CR,3.0,509700.0,
2807,2003-07-15 00:00:00.000,353,16,1,CR,1.0,209000.0,
2810,2003-08-08 00:00:00.000,3,25,1,CN,3.0,422700.0,
2812,2003-08-26 00:00:00.000,345,41,1,CN,1.0,30000.0,
2814,2003-09-06 00:00:00.000,369,35,8,CR,2.0,438000.0,
2817,2003-09-21 00:00:00.000,333,42,10,CR,2.0,15960.0,
2819,2003-10-03 00:00:00.000,1,8,8,CR,3.0,389700.0,
2822,2003-10-23 00:00:00.000,253,37,8,CN,1.0,319000.0,
2823,2003-10-30 00:00:00.000,292,40,8,CN,3.0,62970.0,
2832,2003-12-14 00:00:00.000,304,3,10,CR,3.0,206700.0,
2837,2004-01-07 00:00:00.000,459,1,1,CN,3.0,119700.0,
2843,2004-02-04 00:00:00.000,278,33,10,CR,2.0,378000.0,
2849,2004-03-05 00:00:00.000,329,5,10,CR,4.0,180000.0,
2850,2004-03-13 00:00:00.000,304,5,1,CN,2.0,90000.0,
2854,2004-04-08 00:00:00.000,462,22,10,CN,4.0,400000.0,
2855,2004-04-12 00:00:00.000,327,3,1,CN,4.0,275600.0,
2856,2004-04-22 00:00:00.000,399,23,8,CR,2.0,281800.0,
2857,2004-04-24 00:00:00.000,272,11,10,CR,1.0,159900.0,
2859,2004-05-05 00:00:00.000,302,17,10,CR,4.0,916000.0,
2860,2004-05-07 00:00:00.000,450,42,8,CR,3.0,23940.0,
2868,2004-06-27 00:00:00.000,323,7,8,CN,3.0,210000.0,
2872,2004-07-07 00:00:00.000,372,34,8,CR,2.0,398000.0,
2873,2004-07-10 00:00:00.000,207,20,8,CR,4.0,443600.0,
2881,2004-08-04 00:00:00.000,260,14,8,CN,4.0,800000.0,
2884,2004-08-18 00:00:00.000,383,33,8,CR,3.0,567000.0,
2885,2004-08-23 00:00:00.000,345,17,1,CR,1.0,229000.0,
2889,2004-09-23 00:00:00.000,304,14,8,CR,3.0,600000.0,
2891,2004-10-01 00:00:00.000,232,11,10,CR,2.0,319800.0,
2892,2004-10-06 00:00:00.000,319,32,10,CN,4.0,1036000.0,
2893,2004-10-11 00:00:00.000,215,28,1,CN,4.0,760000.0,
2896,2004-11-01 00:00:00.000,459,31,10,CN,1.0,281000.0,
2901,2004-11-24 00:00:00.000,459,23,1,CR,4.0,563600.0,
2903,2004-11-30 00:00:00.000,287,27,10,CR,4.0,684000.0,
2906,2004-12-10 00:00:00.000,408,11,10,CN,1.0,159900.0,
2907,2004-12-12 00:00:00.000,409,20,10,CN,4.0,443600.0,
2915,2005-01-15 00:00:00.000,459,39,10,CR,1.0,10990.0,
2917,2005-01-22 00:00:00.000,459,27,8,CR,1.0,171000.0,
2923,2005-02-08 00:00:00.000,439,44,1,CN,3.0,71940.0,
2925,2005-02-16 00:00:00.000,384,29,1,CN,1.0,210000.0,
2928,2005-02-28 00:00:00.000,265,45,8,CR,4.0,131960.0,
2929,2005-02-28 00:00:00.000,423,31,8,CR,4.0,1124000.0,
2931,2005-03-12 00:00:00.000,339,4,8,CR,2.0,61800.0,
2935,2005-03-25 00:00:00.000,217,24,1,CN,2.0,301800.0,
2941,2005-05-11 00:00:00.000,353,17,10,CR,2.0,458000.0,
2942,2005-05-16 00:00:00.000,304,23,1,CR,3.0,422700.0,
2948,2005-06-28 00:00:00.000,253,6,10,CN,1.0,55000.0,
2951,2005-07-25 00:00:00.000,408,35,1,CN,3.0,657000.0,
2954,2005-08-12 00:00:00.000,217,41,1,CR,3.0,90000.0,
2956,2005-08-20 00:00:00.000,453,2,10,CR,1.0,54900.0,
2959,2005-09-08 00:00:00.000,275,21,1,CR,4.0,483600.0,
2960,2005-09-18 00:00:00.000,365,39,10,CR,3.0,32970.0,
2961,2005-09-27 00:00:00.000,364,7,10,CR,3.0,210000.0,
2963,2005-10-12 00:00:00.000,408,5,10,CN,4.0,180000.0,
2971,2005-11-11 00:00:00.000,409,7,8,CR,3.0,210000.0,
2973,2005-11-17 00:00:00.000,208,33,10,CR,4.0,756000.0,
2980,2005-12-25 00:00:00.000,322,11,8,CN,4.0,639600.0,
2981,2006-01-03 00:00:00.000,4,34,8,CN,3.0,597000.0,
2983,2006-01-13 00:00:00.000,462,21,10,CR,4.0,483600.0,
2985,2006-01-22 00:00:00.000,453,13,1,CR,4.0,639600.0,
2987,2006-01-30 00:00:00.000,383,40,10,CR,2.0,41980.0,
2999,2006-04-10 00:00:00.000,386,12,1,CR,2.0,339800.0,
3003,2006-05-02 00:00:00.000,249,6,1,CR,4.0,220000.0,
3018,2006-08-13 00:00:00.000,244,21,8,CN,1.0,120900.0,
3023,2006-09-07 00:00:00.000,216,5,8,CN,4.0,180000.0,
3024,2006-09-08 00:00:00.000,452,1,10,CR,1.0,39900.0,
3029,2006-10-03 00:00:00.000,333,14,1,CR,1.0,200000.0,
3031,2006-10-17 00:00:00.000,288,30,1,CR,2.0,480000.0,
3038,2006-11-13 00:00:00.000,365,8,10,CR,2.0,259800.0,
3044,2006-12-24 00:00:00.000,372,5,10,CR,2.0,90000.0,
